,专辑名称,专辑链接,专辑评分,评分人数,歌手,发行日期,类型,介质,曲风
219,信仰在空中飘扬,https://music.douban.com/subject/3843530/,8.8,21690,汪峰,2009-07-25,专辑,CD,摇滚
220,[i] Karen Love,https://music.douban.com/subject/1403573/,8.8,23659,莫文蔚,2002-04-29,专辑,CD,流行
221,Songs About Jane,https://music.douban.com/subject/1395446/,8.7,22692,Maroon 5,2002,专辑,Audio CD,流行
222,Back To Black 重回黑色怀抱,https://music.douban.com/subject/1937036/,8.9,25011,Amy Winehouse,2006-10-30,专辑,Audio CD,放克/灵歌/R&B
223,Demo 3,https://music.douban.com/subject/5292091/,9.2,20766,陈绮贞,2001-11-09,Demo,CD,流行
224,克卜勒 Kepler,https://music.douban.com/subject/25811077/,8.7,36089,孙燕姿,2014-02-27,专辑,CD,流行
225,E=MC² 爱的方程式,https://music.douban.com/subject/3005450/,8.7,22486,Mariah Carey,2008-04-16,专辑,CD,放克/灵歌/R&B
226,9 Crimes,https://music.douban.com/subject/2286005/,9.4,18888,Damien Rice,2006-11-27,单曲,Audio CD,民谣
227,如果有一件事是重要的 如果有一件事是重要的+粉红色(demo),https://music.douban.com/subject/3579420/,8.4,21054,陈珊妮,2008-11-22,专辑,CD,流行
228,赤裸裸 赤裸裸?!,https://music.douban.com/subject/1404457/,8.9,25494,郑钧,1994,专辑,CD,摇滚
229,阿岳正传 Useless Guy,https://music.douban.com/subject/1410613/,9.0,21367,张震岳,2004-06-24,选集,CD,摇滚
230,3颗猫饼干 三颗猫饼干 / Three Cat Cookies,https://music.douban.com/subject/1408372/,9.2,17612,"朱玫玲,董運昌,王雁盟,何真真",2004/04/26,,专辑,CD
231,21 Guns,https://music.douban.com/subject/3807272/,9.2,20830,Green Day,2009-07-14,Single,Audio CD,流行
232,看我72变,https://music.douban.com/subject/6540851/,8.1,38105,蔡依林 Jolin Tsai,2003-03-07,专辑,CD,流行
233,第二人生 明日版 SECOND ROUND - NOW HERE,https://music.douban.com/subject/7065469/,9.2,21415,五月天,2011-12-20,专辑,CD,流行
234,Definitely Maybe 绝对可能,https://music.douban.com/subject/1395280/,9.1,27232,Oasis,1994-08-30,专辑,CD,摇滚
235,First Love 初恋,https://music.douban.com/subject/1397751/,9.3,28462,宇多田ヒカル,1999,专辑,CD,流行
236,阿密特 意识专辑,https://music.douban.com/subject/5325161/,8.2,26092,张惠妹,2009-06-26,专辑,CD,流行
237,心·跳 心跳,https://music.douban.com/subject/3323600/,7.3,24644,王力宏 Leehom Wang,2008-12-26,专辑,CD,流行
238,xx 同名专辑,https://music.douban.com/subject/4010504/,8.9,23268,The xx,2009-08-17,专辑,CD,电子
239,回蔚,https://music.douban.com/subject/3767208/,8.1,20646,莫文蔚,2009-06-23,专辑,CD+DVD,流行
240,"如果看見地獄，我就不怕魔鬼 If I See Hell, I Won't Be Afraid of Demons",https://music.douban.com/subject/3313756/,8.2,19818,Tizzy Bac,2009-02-13,专辑,CD,摇滚
241,我们是五月天,https://music.douban.com/subject/1438249/,9.3,22414,五月天,2003年4月17日,专辑,CD,流行
242,王妃 王妃,https://music.douban.com/subject/3803120/,7.8,24898,萧敬腾,2009-07-17,专辑,CD,流行
243,Poker Face 扑克脸,https://music.douban.com/subject/3313848/,8.8,26780,Lady Gaga,2008-09-23,Single,Audio CD,流行
244,唐朝 梦回唐朝,https://music.douban.com/subject/1395143/,9.1,24234,唐朝,1992-12,CD＋DVD,CD,摇滚
245,寻找周杰伦,https://music.douban.com/subject/1407700/,9.2,32008,周杰伦,2003-12-1,EP,音乐CD,流行
246,她说 概念自选辑,https://music.douban.com/subject/5360525/,8.3,38028,林俊杰,2010-12-08,专辑,CD,流行
